3g2,Cinema.png
3gp,Cinema.png
7z,7Zip.png
7Zip,7Zip.png
AAC,AAC.png
ac3,Playlist.png
access,Database.png
AI,AI.png
aiff,Playlist.png
ape,Playlist.png
APK,APK.png
Audio,Audio.png
avi,AVI.png
BMP,BMP.png
bz2,Archive.png
cab,Archive.png
cal,ImageFile.png
cdr,ImageFile.png
CSS,CSS.png
CSV,CSV.png
db,Database.png
dbase,Database.png
DLL,DLL.png
DMG,DMG.png
DNG,DNG.png
DOC,DOC.png
docx,DOC.png
dpx,ImageFile.png
drw,ImageFile.png
DWG,DWG.png
EPS,EPS.png
eps,ImageFile.png
EPUB,EPUB.png
EXE,EXE.png
File,File.png
flac,Playlist.png
flv,Cinema.png
FLV,FLV.png
GIF,GIF.png
gif,ImageFile.png
html,HTML.png
ico,ImageFile.png
jpeg,ImageFile.png
jpg,ImageFile.png
log,LOG.png
m3u,Document.png
mkv,Cinema.png
MOV,MOV.png
mp3,Playlist.png
mp4,Cinema.png
mpeg,Cinema.png
mpg,Cinema.png
mxf,Cinema.png
oga,Playlist.png
OGG,OGG.png
ogv,Cinema.png
OTF,OTF.png
pcd,ImageFile.png
pcx,ImageFile.png
PDF,PDF.png
png,ImageFile.png
PPT,PPT.png
pptx,PPT.png
psd,ImageFile.png
py,PythonFile.png
pyc,PythonFile.png
pyd,PythonFile.png
RAR,RAR.png
raw,ImageFile.png
readme,Document.png
rm,Cinema.png
rmvb,Cinema.png
rtf,Document.png
sqlite,Database.png
svg,ImageFile.png
TAR,TAR.png
tga,ImageFile.png
TIF,TIF.png
tiff,ImageFile.png
TTF,TTF.png
TXT,TXT.png
WAV,WAV.png
wma,Playlist.png
wmv,Cinema.png
XLS,XLS.png
xlsx,XLS.png
XML,XML.png
xz,Archive.png
ZIP,ZIP.png
zst,Archive.png